hatchery,assay_type,species,water_type,filter_type,avg_mortality,issue_detected
RRD-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,58.7,True
RRD-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,71.0,True
RRD-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,1.7,False
RRD-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,6.7,False
RRD-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,50.7,True
RRD-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,39.3,True
RRD-R1,Chronic,Crassostrea virginica,Shed Water,Unfiltered,67.2,True
RRD-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,28.7,True
RRD-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,42.3,True
RRD-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,32.0,True
RRD-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,20.7,True
RRD-R3,Acute,Crassostrea virginica,Incoming Water,0.22um filter,2.2,False
RRD-R3,Acute,Crassostrea virginica,Incoming Water,10um filter,7.0,False
RRD-R3,Acute,Crassostrea virginica,Incoming Water,Unfiltered,4.0,False
RRD-R3,Acute,Crassostrea virginica,Shed Water,0.22um filter,15.0,True
RRD-R3,Acute,Crassostrea virginica,Shed Water,10um filter,6.7,False
RRD-R3,Acute,Crassostrea virginica,Shed Water,Unfiltered,3.3,False
RRD-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,3.7,False
RRD-R3,Acute,Crassostrea virginica,Tank Water,10um filter,11.3,True
RRD-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,4.5,False
S3W-R3,Acute,Crassostrea virginica,Tank Water,0.22um filter,1.2,False
S3W-R3,Acute,Crassostrea virginica,Tank Water,10um filter,0.0,False
S3W-R3,Acute,Crassostrea virginica,Tank Water,Unfiltered,1.7,False
S3W-R3,Chronic,Crassostrea virginica,Shed Water,Unfiltered,3.6,False
S3W-R4,Acute,Crassostrea virginica,Incoming Water,0.22um filter,2.7,False
S3W-R4,Acute,Crassostrea virginica,Shed Water,0.22um filter,4.0,False
S3W-R4,Acute,Crassostrea virginica,Shed Water,10um filter,10.3,True
S3W-R4,Acute,Crassostrea virginica,Shed Water,Unfiltered,4.3,False
S3W-R4,Acute,Crassostrea virginica,Tank Water,0.22um filter,4.3,False
S3W-R4,Acute,Crassostrea virginica,Tank Water,10um filter,5.3,False
S3W-R4,Acute,Crassostrea virginica,Tank Water,Unfiltered,6.0,False
S3W-R5,Acute,Crassostrea virginica,Incoming Water,0.22um filter,10.7,True
S3W-R5,Acute,Crassostrea virginica,Incoming Water,10um filter,14.7,True
S3W-R5,Acute,Crassostrea virginica,Incoming Water,Unfiltered,5.7,False
S3W-R5,Acute,Crassostrea virginica,Shed Water,0.22um filter,3.7,False
S3W-R5,Acute,Crassostrea virginica,Shed Water,10um filter,8.3,False
S3W-R5,Acute,Crassostrea virginica,Shed Water,Unfiltered,5.0,False
S3W-R5,Acute,Crassostrea virginica,Tank Water,0.22um filter,4.0,False
S3W-R5,Acute,Crassostrea virginica,Tank Water,10um filter,8.0,False
S3W-R5,Acute,Crassostrea virginica,Tank Water,Unfiltered,8.7,False
TRG-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,21.0,True
TRG-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,11.7,True
TRG-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,19.0,True
TRG-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,12.3,True
TRG-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,14.0,True
TRG-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,19.0,True
TXP-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,33.3,True
TXP-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,19.0,True
TXP-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,17.7,True
TXP-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,21.3,True
TXP-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,23.3,True
TXP-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,16.0,True
V7H-R1,Acute,Mercenaria mercenaria,Incoming Water,0.22um filter,27.7,True
V7H-R1,Acute,Mercenaria mercenaria,Incoming Water,Unfiltered,22.3,True
V7H-R1,Acute,Mercenaria mercenaria,Shed Water,0.22um filter,11.0,True
V7H-R1,Acute,Mercenaria mercenaria,Shed Water,Unfiltered,14.0,True
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,38.7,True
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,32.3,True
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,10um filter,21.3,True
V7H-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,9.3,False
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,9.0,False
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,11.7,True
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,10um filter,10.3,True
V7H-R2,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,12.7,True
WFH-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,8.0,False
WFH-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,15.0,True
WFH-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,32.7,True
WFH-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,40.7,True
XXH-R1,Acute,Mercenaria mercenaria,Incoming Water,0.22um filter,13.3,True
XXH-R1,Acute,Mercenaria mercenaria,Incoming Water,Unfiltered,15.3,True
XXH-R1,Acute,Mercenaria mercenaria,Shed Water,0.22um filter,11.3,True
XXH-R1,Acute,Mercenaria mercenaria,Shed Water,Unfiltered,17.3,True
XXH-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,14.7,True
XXH-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,12.0,True
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,41.3,True
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,28.0,True
XZV-R4,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,10.7,True
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,25.3,True
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,16.7,True
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,10um filter,25.0,True
Y9P-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,18.7,True
YPH-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,7.7,False
YPH-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,6.5,False
YPH-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,9.2,False
YPH-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,9.7,False
YPH-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,6.3,False
YPH-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,5.0,False
YPH-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,3.5,False
